rank,headline,editorial_decision,caption_variant,caption
6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Maybe Post,carousel,"Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff

Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff

Why it matters: This is a useful update, but it should be weighed against stronger stories.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball"
6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Maybe Post,story,"Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff

Quick hit: This is a useful update, but it should be weighed against stronger stories.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball"
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,feed,"Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,carousel,"Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,story,"Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Maybe Post,feed,"PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Maybe Post,carousel,"PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Maybe Post,story,"PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,feed,"Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,carousel,"Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,story,"Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
10,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Save for Weekend,feed,"How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing'

A future-star angle with a clear roster-building hook.

Why it matters: Recruiting and roster stories show where the next wave of stars is coming from.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball"
10,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Save for Weekend,carousel,"How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing'

The next wave of talent is already changing the future.

Why it matters: Recruiting and roster stories show where the next wave of stars is coming from.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball"
10,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Save for Weekend,story,"How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing'

Quick hit: Recruiting and roster stories show where the next wave of stars is coming from.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball"
