packet_id,headline,check_type,status,instruction
f2c1c6565e4dbd81,Belgium W beat Thailand W,score_lock,Required,Confirm headline winner and final score match packet exactly.
f2c1c6565e4dbd81,Belgium W beat Thailand W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
f2c1c6565e4dbd81,Belgium W beat Thailand W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
f2c1c6565e4dbd81,Belgium W beat Thailand W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
f2c1c6565e4dbd81,Belgium W beat Thailand W,context_lock,Required,Confirm Slide 3/context uses only packet text.
f2c1c6565e4dbd81,Belgium W beat Thailand W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
f2c1c6565e4dbd81,Belgium W beat Thailand W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
d07d6827b2010c71,Brazil W beat Bulgaria W,score_lock,Required,Confirm headline winner and final score match packet exactly.
d07d6827b2010c71,Brazil W beat Bulgaria W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
d07d6827b2010c71,Brazil W beat Bulgaria W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
d07d6827b2010c71,Brazil W beat Bulgaria W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
d07d6827b2010c71,Brazil W beat Bulgaria W,context_lock,Required,Confirm Slide 3/context uses only packet text.
d07d6827b2010c71,Brazil W beat Bulgaria W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
d07d6827b2010c71,Brazil W beat Bulgaria W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
9afe6916a415c63c,Canada W beat France W,score_lock,Required,Confirm headline winner and final score match packet exactly.
9afe6916a415c63c,Canada W beat France W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
9afe6916a415c63c,Canada W beat France W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
9afe6916a415c63c,Canada W beat France W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
9afe6916a415c63c,Canada W beat France W,context_lock,Required,Confirm Slide 3/context uses only packet text.
9afe6916a415c63c,Canada W beat France W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
9afe6916a415c63c,Canada W beat France W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
22b135f6ef3e8a73,China W beat Serbia W,score_lock,Required,Confirm headline winner and final score match packet exactly.
22b135f6ef3e8a73,China W beat Serbia W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
22b135f6ef3e8a73,China W beat Serbia W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
22b135f6ef3e8a73,China W beat Serbia W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
22b135f6ef3e8a73,China W beat Serbia W,context_lock,Required,Confirm Slide 3/context uses only packet text.
22b135f6ef3e8a73,China W beat Serbia W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
22b135f6ef3e8a73,China W beat Serbia W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
fe53dc606d6e30ee,Italy W beat Turkey W,score_lock,Required,Confirm headline winner and final score match packet exactly.
fe53dc606d6e30ee,Italy W beat Turkey W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
fe53dc606d6e30ee,Italy W beat Turkey W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
fe53dc606d6e30ee,Italy W beat Turkey W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
fe53dc606d6e30ee,Italy W beat Turkey W,context_lock,Required,Confirm Slide 3/context uses only packet text.
fe53dc606d6e30ee,Italy W beat Turkey W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
fe53dc606d6e30ee,Italy W beat Turkey W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
92757bb67f7f332b,Brazil U20 W beat Korea Republic U20 W,score_lock,Required,Confirm headline winner and final score match packet exactly.
92757bb67f7f332b,Brazil U20 W beat Korea Republic U20 W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
92757bb67f7f332b,Brazil U20 W beat Korea Republic U20 W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
92757bb67f7f332b,Brazil U20 W beat Korea Republic U20 W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
92757bb67f7f332b,Brazil U20 W beat Korea Republic U20 W,context_lock,Required,Confirm Slide 3/context uses only packet text.
92757bb67f7f332b,Brazil U20 W beat Korea Republic U20 W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
92757bb67f7f332b,Brazil U20 W beat Korea Republic U20 W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
718ffdb19a4f92bf,Brazil W beat USA W,score_lock,Required,Confirm headline winner and final score match packet exactly.
718ffdb19a4f92bf,Brazil W beat USA W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
718ffdb19a4f92bf,Brazil W beat USA W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
718ffdb19a4f92bf,Brazil W beat USA W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
718ffdb19a4f92bf,Brazil W beat USA W,context_lock,Required,Confirm Slide 3/context uses only packet text.
718ffdb19a4f92bf,Brazil W beat USA W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
718ffdb19a4f92bf,Brazil W beat USA W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
1ed8eb55ce8ec861,Japan W beat South Africa W,score_lock,Required,Confirm headline winner and final score match packet exactly.
1ed8eb55ce8ec861,Japan W beat South Africa W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
1ed8eb55ce8ec861,Japan W beat South Africa W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
1ed8eb55ce8ec861,Japan W beat South Africa W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
1ed8eb55ce8ec861,Japan W beat South Africa W,context_lock,Required,Confirm Slide 3/context uses only packet text.
1ed8eb55ce8ec861,Japan W beat South Africa W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
1ed8eb55ce8ec861,Japan W beat South Africa W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
1a39ee04a20db36f,Mexico W beat Australia W,score_lock,Required,Confirm headline winner and final score match packet exactly.
1a39ee04a20db36f,Mexico W beat Australia W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
1a39ee04a20db36f,Mexico W beat Australia W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
1a39ee04a20db36f,Mexico W beat Australia W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
1a39ee04a20db36f,Mexico W beat Australia W,context_lock,Required,Confirm Slide 3/context uses only packet text.
1a39ee04a20db36f,Mexico W beat Australia W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
1a39ee04a20db36f,Mexico W beat Australia W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
