rank,headline,editorial_decision,caption_variant,caption
5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Maybe Post,story,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
6,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,feed,"Gotham FC announces first-ever ‘dedicated’ training facility

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
6,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,carousel,"Gotham FC announces first-ever ‘dedicated’ training facility

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
6,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,story,"Gotham FC announces first-ever ‘dedicated’ training facility

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
7,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,feed,"U.S. Women's Open viewership soars for Nelly Korda's win at Riviera

The business of women's sports is not emerging anymore. It is becoming big business.

Why it matters: This helps show the business momentum behind women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
7,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,carousel,"U.S. Women's Open viewership soars for Nelly Korda's win at Riviera

Women's sports are becoming impossible for the business world to ignore.

Why it matters: This helps show the business momentum behind women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
7,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,story,"U.S. Women's Open viewership soars for Nelly Korda's win at Riviera

Quick hit: This helps show the business momentum behind women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
8,PWHL expansion Phase 3 signing tracker: Every player who inked a deal,Save for Weekend,feed,"PWHL expansion Phase 3 signing tracker: Every player who inked a deal

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
8,PWHL expansion Phase 3 signing tracker: Every player who inked a deal,Save for Weekend,carousel,"PWHL expansion Phase 3 signing tracker: Every player who inked a deal

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
8,PWHL expansion Phase 3 signing tracker: Every player who inked a deal,Save for Weekend,story,"PWHL expansion Phase 3 signing tracker: Every player who inked a deal

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
9,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis",Save for Weekend,feed,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis

What happened, who stood out, and why it matters for Tennis fans.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
9,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis",Save for Weekend,carousel,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
9,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis",Save for Weekend,story,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis

Quick hit: This is timely Tennis coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
10,UCLA Women’s Soccer Adds Five New Transfers to Roster,Save for Weekend,feed,"UCLA Women’s Soccer Adds Five New Transfers to Roster

A future-star angle with a clear roster-building hook.

Why it matters: Recruiting and roster stories show where the next wave of stars is coming from.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
10,UCLA Women’s Soccer Adds Five New Transfers to Roster,Save for Weekend,carousel,"UCLA Women’s Soccer Adds Five New Transfers to Roster

The next wave of talent is already changing the future.

Why it matters: Recruiting and roster stories show where the next wave of stars is coming from.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
10,UCLA Women’s Soccer Adds Five New Transfers to Roster,Save for Weekend,story,"UCLA Women’s Soccer Adds Five New Transfers to Roster

Quick hit: Recruiting and roster stories show where the next wave of stars is coming from.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
