bundle_slug,bundle_name,sport,league,player_name,team_name,required,status,approved_asset_id,source_url,local_path,sourcing_method,notes
general-bundle,General Bundle,basketball,WNBA,Verified Final,,Yes,missing,,,,,"Required people/player image missing. Free pipeline tried local/manual files, official WNBA roster pages when applicable, Wikipedia/Wikidata/Commons, and DuckDuckGo Images. Add a manual image file or source URL if unresolved."
general-bundle,General Bundle,basketball,WNBA,Use Dallas,,Yes,found_downloaded,appr_46c4bc5989b05f,https://upload.wikimedia.org/wikipedia/commons/f/f6/Dallas_vs._UT_Arlington_men%27s_wheelchair_basketball_2020_01_%28Dallas_warming_up%29.jpg,data/assets/player_images/use-dallas_img_e1ae9fad28f664.jpg,commons_api,
general-bundle,General Bundle,basketball,WNBA,Jessica Shepard,Dallas Wings,Yes,found_downloaded,appr_e229246a508b2e,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jessica%20Shepard%20%28cropped%29.jpg,data/assets/player_images/jessica-shepard_img_1720d64e496bd6.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Arike Ogunbowale,Dallas Wings,Yes,found_downloaded,appr_2646dc354c1762,https://commons.wikimedia.org/wiki/Special:Redirect/file/Arike%20Ogunbowale%2001%20%28cropped%29.jpg,data/assets/player_images/arike-ogunbowale_img_b657bc0d660f71.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Paige Bueckers,Dallas Wings,Yes,found_downloaded,appr_717263c3d3e94e,https://commons.wikimedia.org/wiki/Special:Redirect/file/Paige%20Bueckers%20Dallas%20Wings%202%20%28cropped%29.jpg,data/assets/player_images/paige-bueckers_img_83ab92fe154e0a.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Kelsey Plum,Los Angeles Sparks,Yes,found_downloaded,appr_d8c206f8d07cbd,https://commons.wikimedia.org/wiki/Special:Redirect/file/Kelsey%20Plum%20Fenerbah%C3%A7e%20Women%27s%20Basketball%20vs%20BC%20Nadezhda%20Orenburg%20EuroLeague%20Women%2020171011%20%282%29%20%28cropped%29.jpg,data/assets/player_images/kelsey-plum_img_4a7054cd62f785.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Ariel Atkins,Los Angeles Sparks,Yes,found_downloaded,appr_d3440f8552d66f,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ariel%20Atkins%203%20Fenerbah%C3%A7e%20WB%2020241002%20%28cropped%29.jpg,data/assets/player_images/ariel-atkins_img_d142138a475bc8.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Dearica Hamby,Los Angeles Sparks,Yes,found_downloaded,appr_505914b839a2ec,https://commons.wikimedia.org/wiki/Special:Redirect/file/Dearica%20Hamby%202024%20%28cropped%29.jpg,data/assets/player_images/dearica-hamby_img_380e300619f001.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Los Angeles Sparks.,,Yes,found_downloaded,appr_14945fd31a3a9d,https://upload.wikimedia.org/wikipedia/commons/c/c2/The_Minnesota_Lynx_huddle_during_the_second_half_of_the_game_against_the_Los_Angeles_Sparks.jpg,data/assets/player_images/los-angeles-sparks_img_1eefc8b53a66d0.jpg,commons_api,
general-bundle,General Bundle,basketball,WNBA,Nneka Ogwumike,Los Angeles Sparks,Yes,found_downloaded,appr_9a4d6394f0547e,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ogwumike%2020161011.jpg,data/assets/player_images/nneka-ogwumike_img_5f16a036aea79f.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Cameron Brink,Los Angeles Sparks,Yes,found_downloaded,appr_26395171db11b9,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cameron%20Brink%20%28cropped%29.jpg,data/assets/player_images/cameron-brink_img_1eebb8b3461051.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,BUNDLE LOCKED FACTS,,Yes,missing,,,,,"Required people/player image missing. Free pipeline tried local/manual files, official WNBA roster pages when applicable, Wikipedia/Wikidata/Commons, and DuckDuckGo Images. Add a manual image file or source URL if unresolved."
general-bundle,General Bundle,basketball,WNBA,Graphics Chat Starter,,Yes,missing,,,,,"Required people/player image missing. Free pipeline tried local/manual files, official WNBA roster pages when applicable, Wikipedia/Wikidata/Commons, and DuckDuckGo Images. Add a manual image file or source URL if unresolved."
general-bundle,General Bundle,basketball,WNBA,HER SPORTS DAILY,,Yes,missing,,,,,"Required people/player image missing. Free pipeline tried local/manual files, official WNBA roster pages when applicable, Wikipedia/Wikidata/Commons, and DuckDuckGo Images. Add a manual image file or source URL if unresolved."
general-bundle,General Bundle,basketball,WNBA,A'ja Wilson,,Yes,found_downloaded,appr_2d9a5cdffd79d7,https://commons.wikimedia.org/wiki/Special:Redirect/file/A%27ja%20Wilson.jpg,data/assets/player_images/a-ja-wilson_img_bc9d5ea0730f15.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Gabby Williams,,Yes,found_downloaded,appr_f99707780fd466,https://commons.wikimedia.org/wiki/Special:Redirect/file/Gabby%20Williams%205%20Fenerbah%C3%A7e%20WB%20EuroLeague%20Women%2020250108%20%281%29.jpg,data/assets/player_images/gabby-williams_img_76997e5fc820a2.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Jackie Young,,Yes,found_downloaded,appr_08c59b4ecde0c1,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jackie%20Young.jpg,data/assets/player_images/jackie-young_img_6028f5e4a8042a.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Natasha Howard,,Yes,found_downloaded,appr_f9ebd695d5736c,https://commons.wikimedia.org/wiki/Special:Redirect/file/Natasha%20Howard%20%28basketball%29%2000%20%C3%87BK%20Mersin%20TKBSL%2020250104%20%287%29.jpg,data/assets/player_images/natasha-howard_img_7c5aaef665f58a.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Olivia Miles,,Yes,found_downloaded,appr_37bca07ca08aa4,https://commons.wikimedia.org/wiki/Special:Redirect/file/UNC%20vs%20ND%20%28Jan%202025%29%2023%20%28cropped%29.jpg,data/assets/player_images/olivia-miles_img_a898e15f5c26b7.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Natisha Hiedeman,,Yes,found_downloaded,appr_8bd0af15e97991,https://commons.wikimedia.org/wiki/Special:Redirect/file/Natisha%20Hiedeman%20%28cropped%29.jpg,data/assets/player_images/natisha-hiedeman_img_e6ea9532b77671.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,DeWanna Bonner,,Yes,found_downloaded,appr_920597fdff68d4,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bonner9-20180601.jpg,data/assets/player_images/dewanna-bonner_img_bb07e37b03eda0.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Natasha Mack,,Yes,found_downloaded,appr_00637795ef7ab5,https://commons.wikimedia.org/wiki/Special:Redirect/file/Natasha%20Mack%202024%20%28cropped%29.jpg,data/assets/player_images/natasha-mack_img_ca1cdd91efc73c.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,Monique Akoa Makani,,Yes,found_downloaded,appr_8618f797bbf877,https://commons.wikimedia.org/wiki/Special:Redirect/file/Monique%20Akoa%20Makani%20%28cropped%29.jpg,data/assets/player_images/monique-akoa-makani_img_f9995fbce7fc7a.jpg,wikidata_p18,
