name_variant,athlete_id,type
natasha cloud,chicago_sky_natasha_cloud,auto_alias
R. Banham,chicago_sky_rachel_banham,auto_alias
rachel banham,chicago_sky_rachel_banham,auto_alias
Banham,chicago_sky_rachel_banham,auto_alias
R. Jackson,chicago_sky_rickea_jackson,auto_alias
Jackson,chicago_sky_rickea_jackson,auto_alias
Rickea Jackson,chicago_sky_rickea_jackson,canonical
saylor poffenbarger,chicago_sky_saylor_poffenbarger,auto_alias
Poffenbarger,chicago_sky_saylor_poffenbarger,auto_alias
S. Poffenbarger,chicago_sky_saylor_poffenbarger,auto_alias
Diggins,chicago_sky_skylar_diggins,auto_alias
skylar diggins,chicago_sky_skylar_diggins,auto_alias
S. Diggins,chicago_sky_skylar_diggins,auto_alias
S. Taylor,chicago_sky_sydney_taylor,auto_alias
Sydney Taylor,chicago_sky_sydney_taylor,canonical
Taylor,chicago_sky_sydney_taylor,auto_alias
aaliyah edwards,connecticut_sun_aaliyah_edwards,auto_alias
Edwards,connecticut_sun_aaliyah_edwards,auto_alias
A. Edwards,connecticut_sun_aaliyah_edwards,auto_alias
Aneesah Morrow,connecticut_sun_aneesah_morrow,canonical
Morrow,connecticut_sun_aneesah_morrow,auto_alias
A. Morrow,connecticut_sun_aneesah_morrow,auto_alias
A. Jackson,connecticut_sun_ashlon_jackson,auto_alias
Jackson,connecticut_sun_ashlon_jackson,auto_alias
ashlon jackson,connecticut_sun_ashlon_jackson,auto_alias
Brittney Griner,connecticut_sun_brittney_griner,canonical
B. Griner,connecticut_sun_brittney_griner,auto_alias
Griner,connecticut_sun_brittney_griner,auto_alias
Charlisse Leger-Walker,connecticut_sun_charlisse_leger_walker,canonical
Leger-Walker,connecticut_sun_charlisse_leger_walker,auto_alias
C. Leger-Walker,connecticut_sun_charlisse_leger_walker,auto_alias
Charlisse Leger Walker,connecticut_sun_charlisse_leger_walker,auto_alias
Miller,connecticut_sun_diamond_miller,auto_alias
diamond miller,connecticut_sun_diamond_miller,auto_alias
D. Miller,connecticut_sun_diamond_miller,auto_alias
G. Kneepkens,connecticut_sun_gianna_kneepkens,auto_alias
Kneepkens,connecticut_sun_gianna_kneepkens,auto_alias
gianna kneepkens,connecticut_sun_gianna_kneepkens,auto_alias
H. Lith,connecticut_sun_hailey_van_lith,auto_alias
Hailey Van Lith,connecticut_sun_hailey_van_lith,canonical
Lith,connecticut_sun_hailey_van_lith,auto_alias
kennedy burke,connecticut_sun_kennedy_burke,auto_alias
Burke,connecticut_sun_kennedy_burke,auto_alias
K. Burke,connecticut_sun_kennedy_burke,auto_alias
Leila Lacan,connecticut_sun_leila_lacan,canonical
L. Lacan,connecticut_sun_leila_lacan,auto_alias
Lacan,connecticut_sun_leila_lacan,auto_alias
Nell Angloma,connecticut_sun_nell_angloma,canonical
Angloma,connecticut_sun_nell_angloma,auto_alias
N. Angloma,connecticut_sun_nell_angloma,auto_alias
olivia nelson-ododa,connecticut_sun_olivia_nelson_ododa,auto_alias
O. Nelson-Ododa,connecticut_sun_olivia_nelson_ododa,auto_alias
Olivia Nelson Ododa,connecticut_sun_olivia_nelson_ododa,auto_alias
Nelson-Ododa,connecticut_sun_olivia_nelson_ododa,auto_alias
Beers,connecticut_sun_raegan_beers,auto_alias
R. Beers,connecticut_sun_raegan_beers,auto_alias
Raegan Beers,connecticut_sun_raegan_beers,canonical
Saniya Rivers,connecticut_sun_saniya_rivers,canonical
S. Rivers,connecticut_sun_saniya_rivers,auto_alias
Rivers,connecticut_sun_saniya_rivers,auto_alias
alanna smith,dallas_wings_alanna_smith,auto_alias
Smith,dallas_wings_alanna_smith,auto_alias
A. Smith,dallas_wings_alanna_smith,auto_alias
Alysha Clark,dallas_wings_alysha_clark,canonical
A. Clark,dallas_wings_alysha_clark,auto_alias
Clark,dallas_wings_alysha_clark,auto_alias
Ogunbowale,dallas_wings_arike_ogunbowale,auto_alias
Arike Ogunbowale,dallas_wings_arike_ogunbowale,canonical
A. Ogunbowale,dallas_wings_arike_ogunbowale,auto_alias
Kuier,dallas_wings_awak_kuier,auto_alias
awak kuier,dallas_wings_awak_kuier,auto_alias
A. Kuier,dallas_wings_awak_kuier,auto_alias
aziaha james,dallas_wings_aziaha_james,auto_alias
James,dallas_wings_aziaha_james,auto_alias
A. James,dallas_wings_aziaha_james,auto_alias
Azzi Fudd,dallas_wings_azzi_fudd,canonical
A. Fudd,dallas_wings_azzi_fudd,auto_alias
Fudd,dallas_wings_azzi_fudd,auto_alias
C. Verona,dallas_wings_costanza_verona,auto_alias
Verona,dallas_wings_costanza_verona,auto_alias
costanza verona,dallas_wings_costanza_verona,auto_alias
Shepard,dallas_wings_jessica_shepard,auto_alias
jessica shepard,dallas_wings_jessica_shepard,auto_alias
J. Shepard,dallas_wings_jessica_shepard,auto_alias
Yueru,dallas_wings_li_yueru,auto_alias
L. Yueru,dallas_wings_li_yueru,auto_alias
li yueru,dallas_wings_li_yueru,auto_alias
M. Siegrist,dallas_wings_maddy_siegrist,auto_alias
Maddy Siegrist,dallas_wings_maddy_siegrist,canonical
Siegrist,dallas_wings_maddy_siegrist,auto_alias
odyssey sims,dallas_wings_odyssey_sims,auto_alias
Sims,dallas_wings_odyssey_sims,auto_alias
O. Sims,dallas_wings_odyssey_sims,auto_alias
Paige Bueckers,dallas_wings_paige_bueckers,canonical
P. Bueckers,dallas_wings_paige_bueckers,auto_alias
Bueckers,dallas_wings_paige_bueckers,auto_alias
Sutton,dallas_wings_sug_sutton,auto_alias
Sug Sutton,dallas_wings_sug_sutton,canonical
S. Sutton,dallas_wings_sug_sutton,auto_alias
Prechtel,golden_state_valkyries_ashten_prechtel,auto_alias
A. Prechtel,golden_state_valkyries_ashten_prechtel,auto_alias
ashten prechtel,golden_state_valkyries_ashten_prechtel,auto_alias
cecilia zandalasini,golden_state_valkyries_cecilia_zandalasini,auto_alias
Zandalasini,golden_state_valkyries_cecilia_zandalasini,auto_alias
C. Zandalasini,golden_state_valkyries_cecilia_zandalasini,auto_alias
Williams,golden_state_valkyries_gabby_williams,auto_alias
Gabby Williams,golden_state_valkyries_gabby_williams,canonical
G. Williams,golden_state_valkyries_gabby_williams,auto_alias
I. Rupert,golden_state_valkyries_iliana_rupert,auto_alias
Rupert,golden_state_valkyries_iliana_rupert,auto_alias
iliana rupert,golden_state_valkyries_iliana_rupert,auto_alias
J. Salaun,golden_state_valkyries_janelle_salaun,auto_alias
janelle salaun,golden_state_valkyries_janelle_salaun,auto_alias
Salaun,golden_state_valkyries_janelle_salaun,auto_alias
J. Jocyte,golden_state_valkyries_juste_jocyte,auto_alias
Juste Jocyte,golden_state_valkyries_juste_jocyte,canonical
Jocyte,golden_state_valkyries_juste_jocyte,auto_alias
K. Charles,golden_state_valkyries_kaila_charles,auto_alias
kaila charles,golden_state_valkyries_kaila_charles,auto_alias
Charles,golden_state_valkyries_kaila_charles,auto_alias
Chen,golden_state_valkyries_kaitlyn_chen,auto_alias
K. Chen,golden_state_valkyries_kaitlyn_chen,auto_alias
kaitlyn chen,golden_state_valkyries_kaitlyn_chen,auto_alias
Kayla Thornton,golden_state_valkyries_kayla_thornton,canonical
Thornton,golden_state_valkyries_kayla_thornton,auto_alias
K. Thornton,golden_state_valkyries_kayla_thornton,auto_alias
Stokes,golden_state_valkyries_kiah_stokes,auto_alias
kiah stokes,golden_state_valkyries_kiah_stokes,auto_alias
K. Stokes,golden_state_valkyries_kiah_stokes,auto_alias
Laeticia Amihere,golden_state_valkyries_laeticia_amihere,canonical
Amihere,golden_state_valkyries_laeticia_amihere,auto_alias
L. Amihere,golden_state_valkyries_laeticia_amihere,auto_alias
miela sowah,golden_state_valkyries_miela_sowah,auto_alias
Sowah,golden_state_valkyries_miela_sowah,auto_alias
M. Sowah,golden_state_valkyries_miela_sowah,auto_alias
N. Fingall,golden_state_valkyries_nadia_fingall,auto_alias
Nadia Fingall,golden_state_valkyries_nadia_fingall,canonical
Fingall,golden_state_valkyries_nadia_fingall,auto_alias
Tiffany Hayes,golden_state_valkyries_tiffany_hayes,canonical
T. Hayes,golden_state_valkyries_tiffany_hayes,auto_alias
Hayes,golden_state_valkyries_tiffany_hayes,auto_alias
Veronica Burton,golden_state_valkyries_veronica_burton,canonical
Burton,golden_state_valkyries_veronica_burton,auto_alias
V. Burton,golden_state_valkyries_veronica_burton,auto_alias
A. Boston,indiana_fever_aliyah_boston,auto_alias
Aliyah Boston,indiana_fever_aliyah_boston,canonical
Boston,indiana_fever_aliyah_boston,auto_alias
bree hall,indiana_fever_bree_hall,auto_alias
B. Hall,indiana_fever_bree_hall,auto_alias
Hall,indiana_fever_bree_hall,auto_alias
C. Clark,indiana_fever_caitlin_clark,auto_alias
caitlin clark,indiana_fever_caitlin_clark,auto_alias
Clark,indiana_fever_caitlin_clark,auto_alias
Dantas,indiana_fever_damiris_dantas,auto_alias
D. Dantas,indiana_fever_damiris_dantas,auto_alias
damiris dantas,indiana_fever_damiris_dantas,auto_alias
Grace VanSlooten,indiana_fever_grace_vanslooten,canonical
VanSlooten,indiana_fever_grace_vanslooten,auto_alias
G. VanSlooten,indiana_fever_grace_vanslooten,auto_alias
Justine Pissott,indiana_fever_justine_pissott,canonical
Pissott,indiana_fever_justine_pissott,auto_alias
J. Pissott,indiana_fever_justine_pissott,auto_alias
Mitchell,indiana_fever_kelsey_mitchell,auto_alias
K. Mitchell,indiana_fever_kelsey_mitchell,auto_alias
kelsey mitchell,indiana_fever_kelsey_mitchell,auto_alias
L. Hull,indiana_fever_lexie_hull,auto_alias
lexie hull,indiana_fever_lexie_hull,auto_alias
Hull,indiana_fever_lexie_hull,auto_alias
M. Timpson,indiana_fever_makayla_timpson,auto_alias
Timpson,indiana_fever_makayla_timpson,auto_alias
Makayla Timpson,indiana_fever_makayla_timpson,canonical
M. Billings,indiana_fever_monique_billings,auto_alias
monique billings,indiana_fever_monique_billings,auto_alias
Billings,indiana_fever_monique_billings,auto_alias
M. Hines-Allen,indiana_fever_myisha_hines_allen,auto_alias
Hines-Allen,indiana_fever_myisha_hines_allen,auto_alias
Myisha Hines Allen,indiana_fever_myisha_hines_allen,auto_alias
Myisha Hines-Allen,indiana_fever_myisha_hines_allen,canonical
Johnson,indiana_fever_raven_johnson,auto_alias
R. Johnson,indiana_fever_raven_johnson,auto_alias
raven johnson,indiana_fever_raven_johnson,auto_alias
Sophie Cunningham,indiana_fever_sophie_cunningham,canonical
Cunningham,indiana_fever_sophie_cunningham,auto_alias
S. Cunningham,indiana_fever_sophie_cunningham,auto_alias
tyasha harris,indiana_fever_tyasha_harris,auto_alias
T. Harris,indiana_fever_tyasha_harris,auto_alias
Harris,indiana_fever_tyasha_harris,auto_alias
A'ja Wilson,las_vegas_aces_a_ja_wilson,canonical
A ja Wilson,las_vegas_aces_a_ja_wilson,auto_alias
Wilson,las_vegas_aces_a_ja_wilson,auto_alias
A. Wilson,las_vegas_aces_a_ja_wilson,auto_alias
B. Turner,las_vegas_aces_brianna_turner,auto_alias
Turner,las_vegas_aces_brianna_turner,auto_alias
Brianna Turner,las_vegas_aces_brianna_turner,canonical
chelsea gray,las_vegas_aces_chelsea_gray,auto_alias
C. Gray,las_vegas_aces_chelsea_gray,auto_alias
Gray,las_vegas_aces_chelsea_gray,auto_alias
Carter,las_vegas_aces_chennedy_carter,auto_alias
chennedy carter,las_vegas_aces_chennedy_carter,auto_alias
C. Carter,las_vegas_aces_chennedy_carter,auto_alias
Parker-Tyus,las_vegas_aces_cheyenne_parker_tyus,auto_alias
Cheyenne Parker Tyus,las_vegas_aces_cheyenne_parker_tyus,auto_alias
Cheyenne Parker-Tyus,las_vegas_aces_cheyenne_parker_tyus,canonical
C. Parker-Tyus,las_vegas_aces_cheyenne_parker_tyus,auto_alias
D. Evans,las_vegas_aces_dana_evans,auto_alias
dana evans,las_vegas_aces_dana_evans,auto_alias
Evans,las_vegas_aces_dana_evans,auto_alias
Jackie Young,las_vegas_aces_jackie_young,canonical
J. Young,las_vegas_aces_jackie_young,auto_alias
Young,las_vegas_aces_jackie_young,auto_alias
janiah barker,las_vegas_aces_janiah_barker,auto_alias
J. Barker,las_vegas_aces_janiah_barker,auto_alias
Barker,las_vegas_aces_janiah_barker,auto_alias
jewell loyd,las_vegas_aces_jewell_loyd,auto_alias
Loyd,las_vegas_aces_jewell_loyd,auto_alias
J. Loyd,las_vegas_aces_jewell_loyd,auto_alias
Kierstan Bell,las_vegas_aces_kierstan_bell,canonical
Bell,las_vegas_aces_kierstan_bell,auto_alias
K. Bell,las_vegas_aces_kierstan_bell,auto_alias
NaLyssa Smith,las_vegas_aces_nalyssa_smith,canonical
N. Smith,las_vegas_aces_nalyssa_smith,auto_alias
Smith,las_vegas_aces_nalyssa_smith,auto_alias
S. Talbot,las_vegas_aces_stephanie_talbot,auto_alias
Stephanie Talbot,las_vegas_aces_stephanie_talbot,canonical
Talbot,las_vegas_aces_stephanie_talbot,auto_alias
Ariel Atkins,los_angeles_sparks_ariel_atkins,canonical
A. Atkins,los_angeles_sparks_ariel_atkins,auto_alias
Atkins,los_angeles_sparks_ariel_atkins,auto_alias
C. Brink,los_angeles_sparks_cameron_brink,auto_alias
Cameron Brink,los_angeles_sparks_cameron_brink,canonical
Brink,los_angeles_sparks_cameron_brink,auto_alias
Chance Gray,los_angeles_sparks_chance_gray,canonical
C. Gray,los_angeles_sparks_chance_gray,auto_alias
Gray,los_angeles_sparks_chance_gray,auto_alias
Dearica Hamby,los_angeles_sparks_dearica_hamby,canonical
D. Hamby,los_angeles_sparks_dearica_hamby,auto_alias
Hamby,los_angeles_sparks_dearica_hamby,auto_alias
Emma Cannon,los_angeles_sparks_emma_cannon,canonical
E. Cannon,los_angeles_sparks_emma_cannon,auto_alias
Cannon,los_angeles_sparks_emma_cannon,auto_alias
E. Wheeler,los_angeles_sparks_erica_wheeler,auto_alias
erica wheeler,los_angeles_sparks_erica_wheeler,auto_alias
Wheeler,los_angeles_sparks_erica_wheeler,auto_alias
Park,los_angeles_sparks_jihyun_park,auto_alias
Jihyun Park,los_angeles_sparks_jihyun_park,canonical
J. Park,los_angeles_sparks_jihyun_park,auto_alias
Kate Martin,los_angeles_sparks_kate_martin,canonical
K. Martin,los_angeles_sparks_kate_martin,auto_alias
Martin,los_angeles_sparks_kate_martin,auto_alias
kelsey plum,los_angeles_sparks_kelsey_plum,auto_alias
Plum,los_angeles_sparks_kelsey_plum,auto_alias
K. Plum,los_angeles_sparks_kelsey_plum,auto_alias
Laura Ziegler,los_angeles_sparks_laura_ziegler,canonical
L. Ziegler,los_angeles_sparks_laura_ziegler,auto_alias
Ziegler,los_angeles_sparks_laura_ziegler,auto_alias
Ogwumike,los_angeles_sparks_nneka_ogwumike,auto_alias
Nneka Ogwumike,los_angeles_sparks_nneka_ogwumike,canonical
N. Ogwumike,los_angeles_sparks_nneka_ogwumike,auto_alias
rae burrell,los_angeles_sparks_rae_burrell,auto_alias
Burrell,los_angeles_sparks_rae_burrell,auto_alias
R. Burrell,los_angeles_sparks_rae_burrell,auto_alias
Feagin,los_angeles_sparks_sania_feagin,auto_alias
Sania Feagin,los_angeles_sparks_sania_feagin,canonical
S. Feagin,los_angeles_sparks_sania_feagin,auto_alias
Latson,los_angeles_sparks_ta_niya_latson,auto_alias
ta'niya latson,los_angeles_sparks_ta_niya_latson,auto_alias
T. Latson,los_angeles_sparks_ta_niya_latson,auto_alias
Ta Niya Latson,los_angeles_sparks_ta_niya_latson,auto_alias
Kosu,minnesota_lynx_anastasiia_olairi_kosu,auto_alias
Anastasiia Olairi Kosu,minnesota_lynx_anastasiia_olairi_kosu,canonical
A. Kosu,minnesota_lynx_anastasiia_olairi_kosu,auto_alias
Antonia Delaere,minnesota_lynx_antonia_delaere,canonical
Delaere,minnesota_lynx_antonia_delaere,auto_alias
A. Delaere,minnesota_lynx_antonia_delaere,auto_alias
Williams,minnesota_lynx_courtney_williams,auto_alias
courtney williams,minnesota_lynx_courtney_williams,auto_alias
C. Williams,minnesota_lynx_courtney_williams,auto_alias
dorka juhasz,minnesota_lynx_dorka_juhasz,auto_alias
D. Juhasz,minnesota_lynx_dorka_juhasz,auto_alias
Juhasz,minnesota_lynx_dorka_juhasz,auto_alias
E. Hamzova,minnesota_lynx_eliska_hamzova,auto_alias
Eliska Hamzova,minnesota_lynx_eliska_hamzova,canonical
Hamzova,minnesota_lynx_eliska_hamzova,auto_alias
E. Cechova,minnesota_lynx_emma_cechova,auto_alias
emma cechova,minnesota_lynx_emma_cechova,auto_alias
Cechova,minnesota_lynx_emma_cechova,auto_alias
Kayla McBride,minnesota_lynx_kayla_mcbride,canonical
McBride,minnesota_lynx_kayla_mcbride,auto_alias
K. McBride,minnesota_lynx_kayla_mcbride,auto_alias
Liatu King,minnesota_lynx_liatu_king,canonical
King,minnesota_lynx_liatu_king,auto_alias
L. King,minnesota_lynx_liatu_king,auto_alias
Caldwell,minnesota_lynx_maya_caldwell,auto_alias
Maya Caldwell,minnesota_lynx_maya_caldwell,canonical
M. Caldwell,minnesota_lynx_maya_caldwell,auto_alias
Collier,minnesota_lynx_napheesa_collier,auto_alias
N. Collier,minnesota_lynx_napheesa_collier,auto_alias
napheesa collier,minnesota_lynx_napheesa_collier,auto_alias
N. Howard,minnesota_lynx_natasha_howard,auto_alias
Natasha Howard,minnesota_lynx_natasha_howard,canonical
Howard,minnesota_lynx_natasha_howard,auto_alias
nia coffey,minnesota_lynx_nia_coffey,auto_alias
Coffey,minnesota_lynx_nia_coffey,auto_alias
N. Coffey,minnesota_lynx_nia_coffey,auto_alias
Olivia Miles,minnesota_lynx_olivia_miles,canonical
O. Miles,minnesota_lynx_olivia_miles,auto_alias
Miles,minnesota_lynx_olivia_miles,auto_alias
McCowan,minnesota_lynx_teaira_mccowan,auto_alias
teaira mccowan,minnesota_lynx_teaira_mccowan,auto_alias
T. McCowan,minnesota_lynx_teaira_mccowan,auto_alias
Anneli Maley,new_york_liberty_anneli_maley,canonical
A. Maley,new_york_liberty_anneli_maley,auto_alias
Maley,new_york_liberty_anneli_maley,auto_alias
B. Laney-Hamilton,new_york_liberty_betnijah_laney_hamilton,auto_alias
betnijah laney-hamilton,new_york_liberty_betnijah_laney_hamilton,auto_alias
Betnijah Laney Hamilton,new_york_liberty_betnijah_laney_hamilton,auto_alias
Laney-Hamilton,new_york_liberty_betnijah_laney_hamilton,auto_alias
B. Stewart,new_york_liberty_breanna_stewart,auto_alias
Stewart,new_york_liberty_breanna_stewart,auto_alias
Breanna Stewart,new_york_liberty_breanna_stewart,canonical
han xu,new_york_liberty_han_xu,auto_alias
Xu,new_york_liberty_han_xu,auto_alias
H. Xu,new_york_liberty_han_xu,auto_alias
jonquel jones,new_york_liberty_jonquel_jones,auto_alias
Jones,new_york_liberty_jonquel_jones,auto_alias
J. Jones,new_york_liberty_jonquel_jones,auto_alias
leonie fiebich,new_york_liberty_leonie_fiebich,auto_alias
L. Fiebich,new_york_liberty_leonie_fiebich,auto_alias
Fiebich,new_york_liberty_leonie_fiebich,auto_alias
Fauthoux,new_york_liberty_marine_fauthoux,auto_alias
marine fauthoux,new_york_liberty_marine_fauthoux,auto_alias
M. Fauthoux,new_york_liberty_marine_fauthoux,auto_alias
Marine Johannes,new_york_liberty_marine_johannes,canonical
M. Johannes,new_york_liberty_marine_johannes,auto_alias
Johannes,new_york_liberty_marine_johannes,auto_alias
pauline astier,new_york_liberty_pauline_astier,auto_alias
P. Astier,new_york_liberty_pauline_astier,auto_alias
Astier,new_york_liberty_pauline_astier,auto_alias
Raquel Carrera,new_york_liberty_raquel_carrera,canonical
R. Carrera,new_york_liberty_raquel_carrera,auto_alias
Carrera,new_york_liberty_raquel_carrera,auto_alias
Gardner,new_york_liberty_rebekah_gardner,auto_alias
R. Gardner,new_york_liberty_rebekah_gardner,auto_alias
rebekah gardner,new_york_liberty_rebekah_gardner,auto_alias
S. Ionescu,new_york_liberty_sabrina_ionescu,auto_alias
Sabrina Ionescu,new_york_liberty_sabrina_ionescu,canonical
Ionescu,new_york_liberty_sabrina_ionescu,auto_alias
Sabally,new_york_liberty_satou_sabally,auto_alias
Satou Sabally,new_york_liberty_satou_sabally,canonical
S. Sabally,new_york_liberty_satou_sabally,auto_alias
Alyssa Thomas,phoenix_mercury_alyssa_thomas,canonical
Thomas,phoenix_mercury_alyssa_thomas,auto_alias
A. Thomas,phoenix_mercury_alyssa_thomas,auto_alias
J. Nogic,phoenix_mercury_jovana_nogic,auto_alias
Jovana Nogic,phoenix_mercury_jovana_nogic,canonical
Nogic,phoenix_mercury_jovana_nogic,auto_alias
Copper,phoenix_mercury_kahleah_copper,auto_alias
kahleah copper,phoenix_mercury_kahleah_copper,auto_alias
K. Copper,phoenix_mercury_kahleah_copper,auto_alias
kiana williams,phoenix_mercury_kiana_williams,auto_alias
K. Williams,phoenix_mercury_kiana_williams,auto_alias
Williams,phoenix_mercury_kiana_williams,auto_alias
K. Linskens,phoenix_mercury_kyara_linskens,auto_alias
Kyara Linskens,phoenix_mercury_kyara_linskens,canonical
Linskens,phoenix_mercury_kyara_linskens,auto_alias
L. Held,phoenix_mercury_lexi_held,auto_alias
Held,phoenix_mercury_lexi_held,auto_alias
lexi held,phoenix_mercury_lexi_held,auto_alias
M. Suarez,phoenix_mercury_marta_suarez,auto_alias
Marta Suarez,phoenix_mercury_marta_suarez,canonical
Suarez,phoenix_mercury_marta_suarez,auto_alias
monique akoa makani,phoenix_mercury_monique_akoa_makani,auto_alias
M. Makani,phoenix_mercury_monique_akoa_makani,auto_alias
Makani,phoenix_mercury_monique_akoa_makani,auto_alias
N. Mack,phoenix_mercury_natasha_mack,auto_alias
Mack,phoenix_mercury_natasha_mack,auto_alias
natasha mack,phoenix_mercury_natasha_mack,auto_alias
Carter,phoenix_mercury_quionche_carter,auto_alias
Quionche Carter,phoenix_mercury_quionche_carter,canonical
Q. Carter,phoenix_mercury_quionche_carter,auto_alias
sami whitcomb,phoenix_mercury_sami_whitcomb,auto_alias
Whitcomb,phoenix_mercury_sami_whitcomb,auto_alias
S. Whitcomb,phoenix_mercury_sami_whitcomb,auto_alias
V. Ayayi,phoenix_mercury_valeriane_ayayi,auto_alias
Valeriane Ayayi,phoenix_mercury_valeriane_ayayi,canonical
Ayayi,phoenix_mercury_valeriane_ayayi,auto_alias
Carleton,portland_fire_bridget_carleton,auto_alias
bridget carleton,portland_fire_bridget_carleton,auto_alias
B. Carleton,portland_fire_bridget_carleton,auto_alias
Carla Leite,portland_fire_carla_leite,canonical
C. Leite,portland_fire_carla_leite,auto_alias
Leite,portland_fire_carla_leite,auto_alias
Emily Engstler,portland_fire_emily_engstler,canonical
Engstler,portland_fire_emily_engstler,auto_alias
E. Engstler,portland_fire_emily_engstler,auto_alias
frieda buhner,portland_fire_frieda_buhner,auto_alias
Buhner,portland_fire_frieda_buhner,auto_alias
F. Buhner,portland_fire_frieda_buhner,auto_alias
holly winterburn,portland_fire_holly_winterburn,auto_alias
H. Winterburn,portland_fire_holly_winterburn,auto_alias
Winterburn,portland_fire_holly_winterburn,auto_alias
J. Harrison,portland_fire_jordan_harrison,auto_alias
Jordan Harrison,portland_fire_jordan_harrison,canonical
Harrison,portland_fire_jordan_harrison,auto_alias
Samuelson,portland_fire_karlie_samuelson,auto_alias
K. Samuelson,portland_fire_karlie_samuelson,auto_alias
karlie samuelson,portland_fire_karlie_samuelson,auto_alias
L. Geiselsoder,portland_fire_luisa_geiselsoder,auto_alias
Luisa Geiselsoder,portland_fire_luisa_geiselsoder,canonical
Geiselsoder,portland_fire_luisa_geiselsoder,auto_alias
Megan Gustafson,portland_fire_megan_gustafson,canonical
M. Gustafson,portland_fire_megan_gustafson,auto_alias
Gustafson,portland_fire_megan_gustafson,auto_alias
Nyadiew Puoch,portland_fire_nyadiew_puoch,canonical
N. Puoch,portland_fire_nyadiew_puoch,auto_alias
