entity_type,entity_id,approval_scope,approval_status,approved_by,approved_at_utc,auto_approval_allowed,render_enabled,publish_ready,notes
team,racing_louisville_fc,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,racing_louisville_fc,team_logo,approved,Mike,2026-06-27T02:58:21.640483+00:00,false,false,false,Human-approved for review-only renderer logo/mark use from women soccer logo contact sheet; source=https://www.nwslsoccer.com/teams/ac29701756da44a08457762380c10733/racing-louisville-fc/index; decision_source=human_reviewed_womens_soccer_logo_contact_sheet; policy=manual_intake_only_no_auto_approval_no_publish_ready_lane
team,racing_louisville_fc,team_roster_source,not_approved,,,false,false,false,Manual review required before any use
team,san_diego_wave_fc,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,san_diego_wave_fc,team_logo,approved,Mike,2026-06-27T02:58:21.640483+00:00,false,false,false,Human-approved for review-only renderer logo/mark use from women soccer logo contact sheet; source=https://www.nwslsoccer.com/teams/ca719042b34443c4bcfe380ca4850eaf/san-diego-wave-fc/index; decision_source=human_reviewed_womens_soccer_logo_contact_sheet; policy=manual_intake_only_no_auto_approval_no_publish_ready_lane
team,san_diego_wave_fc,team_roster_source,not_approved,,,false,false,false,Manual review required before any use
team,seattle_reign,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,seattle_reign,team_logo,approved,Mike,2026-06-27T02:58:21.640483+00:00,false,false,false,Human-approved for review-only renderer logo/mark use from women soccer logo contact sheet; source=https://www.nwslsoccer.com/teams/1151140adfc24339ba1c93cb0b6b0238/seattle-reign/index; decision_source=human_reviewed_womens_soccer_logo_contact_sheet; policy=manual_intake_only_no_auto_approval_no_publish_ready_lane
team,seattle_reign,team_roster_source,not_approved,,,false,false,false,Manual review required before any use
team,utah_royals_fc,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,utah_royals_fc,team_logo,approved,Mike,2026-06-27T02:58:21.640483+00:00,false,false,false,Human-approved for review-only renderer logo/mark use from women soccer logo contact sheet; source=https://www.nwslsoccer.com/teams/acffc559cf7d485a9c05fa23ab57054b/utah-royals-fc/index; decision_source=human_reviewed_womens_soccer_logo_contact_sheet; policy=manual_intake_only_no_auto_approval_no_publish_ready_lane
team,utah_royals_fc,team_roster_source,not_approved,,,false,false,false,Manual review required before any use
team,washington_spirit,team_identity,not_approved,,,false,false,false,Manual review required before any use
team,washington_spirit,team_logo,approved,Mike,2026-06-27T02:58:21.640483+00:00,false,false,false,Human-approved for review-only renderer logo/mark use from women soccer logo contact sheet; source=https://www.nwslsoccer.com/teams/c31d72afc09f42ee86418633aa41390a/washington-spirit/index; decision_source=human_reviewed_womens_soccer_logo_contact_sheet; policy=manual_intake_only_no_auto_approval_no_publish_ready_lane
team,washington_spirit,team_roster_source,not_approved,,,false,false,false,Manual review required before any use
league,nwsl,league_mark,approved,Mike,2026-06-27T02:58:21.640483+00:00,false,false,false,Human-approved for review-only renderer logo/mark use from women soccer logo contact sheet; source=https://www.nwslsoccer.com/about-the-nwsl; decision_source=human_reviewed_womens_soccer_logo_contact_sheet; policy=manual_intake_only_no_auto_approval_no_publish_ready_lane
