bundle_slug,player_name,team_name,approved_asset_id,fit_status,usage_mode,risk_level,risk_reasons,recommended_crop,prompt_instruction
general-bundle,One Sparks,,appr_c53adf657a1ff5,review,tight_face_crop_only,medium,possible non-current-team/alternate jersey source: college,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use One Sparks's image only for One Sparks. Crop tightly if the jersey is not clearly .
general-bundle,Los Angeles,,appr_315287c0f37435,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Los Angeles's image only for Los Angeles. Crop tightly if the jersey is not clearly .
general-bundle,Verified Final,,,blocked_missing_image,normal_player_photo,critical,missing required player image,Do not use.,Missing approved image for Verified Final. Do not substitute another player.
general-bundle,Use Dallas,,appr_46c4bc5989b05f,approved,normal_player_photo,low,,Normal crop is allowed if the image clearly matches the player and team context.,Use Use Dallas's image only for Use Dallas.
general-bundle,Jessica Shepard,Dallas Wings,appr_e229246a508b2e,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Jessica Shepard's image only for Jessica Shepard. Crop tightly if the jersey is not clearly Dallas Wings.
general-bundle,Arike Ogunbowale,Dallas Wings,appr_2646dc354c1762,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Arike Ogunbowale's image only for Arike Ogunbowale. Crop tightly if the jersey is not clearly Dallas Wings.
general-bundle,Paige Bueckers,Dallas Wings,appr_717263c3d3e94e,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Paige Bueckers's image only for Paige Bueckers. Crop tightly if the jersey is not clearly Dallas Wings.
general-bundle,Kelsey Plum,Los Angeles Sparks,appr_d8c206f8d07cbd,review,tight_face_crop_only,medium,possible non-current-team/alternate jersey source: euroleague; public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Kelsey Plum's image only for Kelsey Plum. Crop tightly if the jersey is not clearly Los Angeles Sparks.
general-bundle,Ariel Atkins,Los Angeles Sparks,appr_d3440f8552d66f,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Ariel Atkins's image only for Ariel Atkins. Crop tightly if the jersey is not clearly Los Angeles Sparks.
general-bundle,Dearica Hamby,Los Angeles Sparks,appr_505914b839a2ec,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Dearica Hamby's image only for Dearica Hamby. Crop tightly if the jersey is not clearly Los Angeles Sparks.
general-bundle,Los Angeles Sparks.,,appr_14945fd31a3a9d,approved,normal_player_photo,low,,Normal crop is allowed if the image clearly matches the player and team context.,Use Los Angeles Sparks.'s image only for Los Angeles Sparks..
general-bundle,Nneka Ogwumike,Los Angeles Sparks,appr_9a4d6394f0547e,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Nneka Ogwumike's image only for Nneka Ogwumike. Crop tightly if the jersey is not clearly Los Angeles Sparks.
general-bundle,Cameron Brink,Los Angeles Sparks,appr_26395171db11b9,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Cameron Brink's image only for Cameron Brink. Crop tightly if the jersey is not clearly Los Angeles Sparks.
general-bundle,BUNDLE LOCKED FACTS,,,blocked_missing_image,normal_player_photo,critical,missing required player image,Do not use.,Missing approved image for BUNDLE LOCKED FACTS. Do not substitute another player.
general-bundle,Graphics Chat Starter,,,blocked_missing_image,normal_player_photo,critical,missing required player image,Do not use.,Missing approved image for Graphics Chat Starter. Do not substitute another player.
general-bundle,HER SPORTS DAILY,,,blocked_missing_image,normal_player_photo,critical,missing required player image,Do not use.,Missing approved image for HER SPORTS DAILY. Do not substitute another player.
general-bundle,A'ja Wilson,,appr_2d9a5cdffd79d7,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use A'ja Wilson's image only for A'ja Wilson. Crop tightly if the jersey is not clearly .
general-bundle,Gabby Williams,,appr_f99707780fd466,review,tight_face_crop_only,medium,possible non-current-team/alternate jersey source: euroleague; public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Gabby Williams's image only for Gabby Williams. Crop tightly if the jersey is not clearly .
general-bundle,Jackie Young,,appr_08c59b4ecde0c1,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Jackie Young's image only for Jackie Young. Crop tightly if the jersey is not clearly .
general-bundle,Natasha Howard,,appr_f9ebd695d5736c,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Natasha Howard's image only for Natasha Howard. Crop tightly if the jersey is not clearly .
general-bundle,Olivia Miles,,appr_37bca07ca08aa4,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Olivia Miles's image only for Olivia Miles. Crop tightly if the jersey is not clearly .
general-bundle,Natisha Hiedeman,,appr_8bd0af15e97991,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Natisha Hiedeman's image only for Natisha Hiedeman. Crop tightly if the jersey is not clearly .
general-bundle,DeWanna Bonner,,appr_920597fdff68d4,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use DeWanna Bonner's image only for DeWanna Bonner. Crop tightly if the jersey is not clearly .
general-bundle,Natasha Mack,,appr_00637795ef7ab5,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Natasha Mack's image only for Natasha Mack. Crop tightly if the jersey is not clearly .
general-bundle,Monique Akoa Makani,,appr_8618f797bbf877,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Monique Akoa Makani's image only for Monique Akoa Makani. Crop tightly if the jersey is not clearly .
