queue_rank,queue_bucket,scope_id,league_id,team_id,team_name,first_action_bucket,candidate_rows,official_roster_candidate_rows,starter_candidate_rows,local_candidate_files_present,missing_local_candidate_rows,download_intake_rows,download_approved_yes_rows,external_research_rows,p0_external_rows,p1_external_rows,gray_area_rows,official_external_rows,non_official_external_rows,operator_verify_required_rows,source_domains,source_status_mix,source_verification_bucket,roster_verification_status,local_asset_blocker,download_law_status,future_download_required_fields,render_readiness,safe_next_action,manual_intake_file,download_intake_file,research_board_file,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
11,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,orlando_pride,Orlando Pride,3_missing_local_candidate_asset,28,28,0,0,28,28,0,2,0,2,0,2,0,2,www.nwslsoccer.com|www.orlandocitysc.com,official_team:2,official_source_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
12,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,portland_thorns_fc,Portland Thorns FC,3_missing_local_candidate_asset,31,31,0,0,31,31,0,0,0,0,0,0,0,0,www.nwslsoccer.com,,source_metadata_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
13,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,racing_louisville_fc,Racing Louisville FC,3_missing_local_candidate_asset,29,29,0,0,29,29,0,0,0,0,0,0,0,0,www.nwslsoccer.com,,source_metadata_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
14,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,seattle_reign,Seattle Reign,3_missing_local_candidate_asset,27,27,0,0,27,27,0,1,0,1,0,1,0,1,www.nwslsoccer.com|www.reignfc.com,official_team:1,official_source_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
15,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,utah_royals_fc,Utah Royals FC,3_missing_local_candidate_asset,27,27,0,0,27,27,0,1,0,1,0,1,0,1,www.nwslsoccer.com|www.rsl.com,official_team:1,official_source_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
16,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,washington_spirit,Washington Spirit,3_missing_local_candidate_asset,27,27,0,0,27,27,0,2,0,2,0,2,0,2,washingtonspirit.com|www.nwslsoccer.com,official_team:2,official_source_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
17,p1_europe_gray_area_source_review,europe_top_flight,wsl_england,all_teams,Wsl England,2_source_verification_gray_or_reputable,12,0,12,0,12,12,0,13,0,13,1,12,1,1,soccerdonna.de|wslfootball.com|www.arsenal.com|www.avfc.co.uk|www.brightonandhovealbion.com|www.chelseafc.com|www.evertonfc.com|www.lcfc.com|www.liverpoolfc.com|www.londoncitylionesses.com|www.mancity.com|www.manutd.com|www.tottenhamhotspur.com|www.whufc.com,non_official_public_database:1|official_league:12,gray_area_or_reputable_media_manual_verify,europe_source_map_review_required,starter_placeholders_missing_local_assets,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_source_candidate_only,Park gray-area/non-official leads; verify official source pages before any player-level intake.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
18,p1_europe_gray_area_source_review,europe_top_flight,liga_f_spain,all_teams,Liga F Spain,2_source_verification_gray_or_reputable,16,0,16,0,16,16,0,17,0,17,1,16,1,1,ligaf.es|soccerdonna.de|www.laliga.com,non_official_public_database:1|official_league:16,gray_area_or_reputable_media_manual_verify,europe_source_map_review_required,starter_placeholders_missing_local_assets,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_source_candidate_only,Park gray-area/non-official leads; verify official source pages before any player-level intake.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
19,p1_europe_gray_area_source_review,europe_top_flight,frauen_bundesliga_germany,all_teams,Frauen Bundesliga Germany,2_source_verification_gray_or_reputable,14,0,14,0,14,14,0,15,0,15,1,14,1,4,datencenter.dfb.de|frauen-bundesliga.dfb.de|globalsportsarchive.com|hsv.de|scfreiburg.com|tsg-hoffenheim.de,gray_area_public_source:1|official_federation:11|official_team:3,gray_area_or_reputable_media_manual_verify,europe_source_map_review_required,starter_placeholders_missing_local_assets,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_source_candidate_only,Park gray-area/non-official leads; verify official source pages before any player-level intake.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
20,p1_europe_gray_area_source_review,europe_top_flight,serie_a_women_italy,all_teams,Serie A Women Italy,2_source_verification_gray_or_reputable,12,0,12,0,12,12,0,13,0,13,3,10,3,12,acffiorentina.com|acmilan.com|asroma.com|comowomen.com|genoacfc.it|inter.it|juventus.com|napolifemminile.it|parmacalcio1913.com|soccerdonna.de|sslazio.it|www.figc.it,non_official_public_database:3|official_team:10,gray_area_or_reputable_media_manual_verify,europe_source_map_review_required,starter_placeholders_missing_local_assets,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_source_candidate_only,Park gray-area/non-official leads; verify official source pages before any player-level intake.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
21,p1_europe_gray_area_source_review,europe_top_flight,arkema_premiere_ligue_france,all_teams,Arkema Premiere Ligue France,2_source_verification_gray_or_reputable,12,0,12,0,12,12,0,13,0,13,1,12,1,13,asse.fr|dfco.fr|epreuves.fff.fr|fcfleury91.fr|fcnantes.com|globalsportsarchive.com|hac.football|mhscfoot.com|ol-lyonnes.com|om.fr|parisfc.fr|psg.fr|rclens.fr|rcstrasbourgalsace.fr,gray_area_public_source:1|official_team:12,gray_area_or_reputable_media_manual_verify,europe_source_map_review_required,starter_placeholders_missing_local_assets,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_source_candidate_only,Park gray-area/non-official leads; verify official source pages before any player-level intake.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
