triage_rank,primary_manual_action,action_flags,scope_id,league_id,team_id,team_name,queue_rank,queue_bucket,first_action_bucket,candidate_rows,missing_local_candidate_rows,source_priority_rows,official_source_candidate_rows,operator_verify_required_source_rows,gray_or_reputable_source_rows,named_player_source_rows,advisory_source_domains,advisory_source_candidate_urls,render_readiness,safe_next_action,download_approved,source_url,candidate_entity_id,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
11,gray_area_reputable_lead_review,source_candidate_review|gray_area_reputable_lead_review|missing_local_asset|future_quarantine_download_intake_prep,europe_top_flight,arkema_premiere_ligue_france,all_teams,Arkema Premiere Ligue France,21,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,12,13,12,13,1,0,globalsportsarchive.com | asse.fr | dfco.fr | fcfleury91.fr | fcnantes.com,https://globalsportsarchive.com/en/soccer/competition/arkema-premiere-ligue-2025-2026/76150 | https://www.asse.fr/fr/feminines/saison-2025-2026/arkema-premiere-ligue | https://www.dfco.fr/effectifs/division-1-feminine/,not_render_ready_source_candidate_only,Review gray-area or reputable public leads as manual leads only; require official confirmation before current-roster use.,no,,arkema_premiere_ligue_france,,,,,,,true,false,false,false,false,false,false,false,false,false,false
12,identity_verification,identity_verification|source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,orlando_pride,Orlando Pride,11,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,28,28,1,1,1,0,1,www.orlandocitysc.com,https://www.orlandocitysc.com/pride/roster/,not_render_ready_review_only,Verify named player identity against official source metadata before any future intake or asset work.,no,,orlando_pride,,,,,,,true,false,false,false,false,false,false,false,false,false,false
13,identity_verification,identity_verification|source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,washington_spirit,Washington Spirit,16,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,27,1,1,1,0,1,washingtonspirit.com,https://washingtonspirit.com/roster/,not_render_ready_review_only,Verify named player identity against official source metadata before any future intake or asset work.,no,,washington_spirit,,,,,,,true,false,false,false,false,false,false,false,false,false,false
14,source_candidate_review,source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,chicago_stars_fc,Chicago Stars FC,9,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,28,28,1,1,1,0,0,chicagostars.com,https://chicagostars.com/roster/,not_render_ready_review_only,Open advisory source-candidate pages manually and classify source quality; keep Europe source-candidate-only.,no,,chicago_stars_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
15,source_candidate_review,source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,seattle_reign,Seattle Reign,14,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,27,1,1,1,0,0,www.reignfc.com,https://www.reignfc.com/roster,not_render_ready_review_only,Open advisory source-candidate pages manually and classify source quality; keep Europe source-candidate-only.,no,,seattle_reign,,,,,,,true,false,false,false,false,false,false,false,false,false,false
16,source_candidate_review,source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,utah_royals_fc,Utah Royals FC,15,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,27,1,1,1,0,0,www.rsl.com,https://www.rsl.com/utahroyals/roster/,not_render_ready_review_only,Open advisory source-candidate pages manually and classify source quality; keep Europe source-candidate-only.,no,,utah_royals_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
17,missing_local_asset,missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,bay_fc,Bay FC,7,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,30,30,0,0,0,0,0,,,not_render_ready_review_only,Confirm missing local review assets and prepare human-edited quarantine intake only if a later download is approved.,no,,bay_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
18,missing_local_asset,missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,boston_legacy_fc,Boston Legacy FC,8,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,26,26,0,0,0,0,0,,,not_render_ready_review_only,Confirm missing local review assets and prepare human-edited quarantine intake only if a later download is approved.,no,,boston_legacy_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
19,missing_local_asset,missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,north_carolina_courage,North Carolina Courage,10,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,27,0,0,0,0,0,,,not_render_ready_review_only,Confirm missing local review assets and prepare human-edited quarantine intake only if a later download is approved.,no,,north_carolina_courage,,,,,,,true,false,false,false,false,false,false,false,false,false,false
20,missing_local_asset,missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,portland_thorns_fc,Portland Thorns FC,12,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,31,31,0,0,0,0,0,,,not_render_ready_review_only,Confirm missing local review assets and prepare human-edited quarantine intake only if a later download is approved.,no,,portland_thorns_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
21,missing_local_asset,missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,racing_louisville_fc,Racing Louisville FC,13,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,29,29,0,0,0,0,0,,,not_render_ready_review_only,Confirm missing local review assets and prepare human-edited quarantine intake only if a later download is approved.,no,,racing_louisville_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
