photo_readiness_rank,photo_review_readiness_bucket,manual_action_group,source_tier,scope_id,league_id,team_id,team_name,player_name,operator_verify_required,source_domain,source_candidate_url,candidate_action_row_ref,candidate_action_file,source_priority_row_ref,source_priority_file,triage_row_ref,triage_file,candidate_entity_id,linked_queue_bucket,render_readiness,photo_asset_blocker,future_download_intake_status,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
11,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Ally Sentnor,yes,angelcity.com,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=52,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
12,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Katie Cappelletti; Kyra Carusa; Kelsey Branson; Flora Marta Lacho,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team; https://www.kansascitycurrent.com/news/kansas-city-current-announces-roster-ahead-of-2026-regular-s,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=53,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=25,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
13,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,orlando_pride,Orlando Pride,Angelina Alonso Costantino; Luana Bertolucci Paixão; Marta Marta; Rafaelle Leone Carvalho Souza; Jacqueline Ovalle; Oihane Hernández; Kat Asman,yes,www.orlandocitysc.com,https://www.orlandocitysc.com/pride/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=54,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=27,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=12,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,orlando_pride,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
14,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,portland_thorns_fc_utah_royals_fc,Portland Thorns FC / Utah Royals FC,Alexa Spaanstra,yes,www.thorns.com,https://www.thorns.com/news/forward-alexa-spaanstra-loaned-to-utah-royals-fc,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=55,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,portland_thorns_fc_utah_royals_fc,,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
15,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Maithé López,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-football-club-loans-forward-maithe-lopez-to-vancouver-rise-fc,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=35,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
16,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,chicago_stars_fc,Chicago Stars FC,,yes,chicagostars.com,https://chicagostars.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=36,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=22,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=14,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,chicago_stars_fc,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
17,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,gotham_fc,Gotham FC,Princess Ademiluyi; Bruna Santos Nhaia,yes,www.gothamfc.com,https://www.gothamfc.com/roster,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=37,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=23,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,gotham_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
18,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Kaylin Williams-Mosier,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team/kaylin-williams-mosier,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=38,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=26,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
19,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,san_diego_wave_fc,San Diego Wave FC,Sandra Paños; Amelia Donna Van Zanten; Gabrielle Jordão Portilho; Ludmila da Silva; Maria Eduarda Rodrigues Silva,yes,sandiegowavefc.com,https://sandiegowavefc.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=39,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=12,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=6,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,san_diego_wave_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
20,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,seattle_reign,Seattle Reign,,yes,www.reignfc.com,https://www.reignfc.com/roster,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=40,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=28,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=15,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,seattle_reign,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
21,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,utah_royals_fc,Utah Royals FC,,yes,www.rsl.com,https://www.rsl.com/utahroyals/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=41,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=29,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=16,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,utah_royals_fc,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
22,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,washington_spirit,Washington Spirit,Heather Stainbrook; Tamara Paranaguá do Carmo,yes,washingtonspirit.com,https://washingtonspirit.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=42,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=30,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=13,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,washington_spirit,p1_nwsl_local_candidate_assets_missing,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
23,verify_official_page_before_photo_review,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,nwsl_all_teams,nwsl_all_teams; nwsl_all_players,,yes,www.nwslsoccer.com,https://www.nwslsoccer.com/teams/index,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=43,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=31,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,nwsl_league_index,,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Verify the official roster/profile page or season-rollover URL before preparing manual photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
24,park_gray_area_lead_no_photo_use,gray_area_reputable_media_lead,gray_area_public_lead,nwsl,nwsl,gotham_fc,Gotham FC,Sam Kerr,yes,www.reuters.com,https://www.reuters.com/sports/soccer/reports-gotham-fc-set-reunion-with-f-sam-kerr--flm-2026-06-17/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=27,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=13,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,gotham_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,Keep as research-only lead; require official roster or identity confirmation before any photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
25,park_gray_area_lead_no_photo_use,gray_area_reputable_media_lead,gray_area_public_lead,europe_top_flight,wsl_england,all_teams_backup,ALL_TEAMS_BACKUP,,yes,soccerdonna.de,https://www.soccerdonna.de/en/womens-super-league/startseite/wettbewerb_ENG1.html,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=28,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=14,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,missing_local_candidate_or_human_intake_required,human_edited_intake_required_no_generated_authorization,Keep as research-only lead; require official roster or identity confirmation before any photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
26,park_gray_area_lead_no_photo_use,gray_area_reputable_media_lead,gray_area_public_lead,europe_top_flight,liga_f_spain,all_teams_backup,ALL_TEAMS_BACKUP,,yes,soccerdonna.de,https://www.soccerdonna.de/en/primera-division-femenina/startseite/wettbewerb_ESP1.html,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=29,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=15,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,missing_local_candidate_or_human_intake_required,human_edited_intake_required_no_generated_authorization,Keep as research-only lead; require official roster or identity confirmation before any photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
27,park_gray_area_lead_no_photo_use,gray_area_reputable_media_lead,gray_area_public_lead,europe_top_flight,frauen_bundesliga_germany,all_teams_backup,ALL_TEAMS_BACKUP,,yes,globalsportsarchive.com,https://globalsportsarchive.com/en/soccer/competition/google-pixel-frauen-bundesliga-2025-2026/76011,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=30,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=16,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,missing_local_candidate_or_human_intake_required,human_edited_intake_required_no_generated_authorization,Keep as research-only lead; require official roster or identity confirmation before any photo-review intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
