readiness_rank,asset_review_readiness_bucket,candidate_next_action_bucket,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,source_tier,source_domain,advisory_source_candidate_urls,triage_row_ref,triage_file,source_priority_rank_range,source_priority_csv_filter,source_priority_file,review_board_to_open,manual_intake_file_to_open,future_download_intake_file,render_readiness,asset_review_blocker,future_download_intake_status,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
11,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,minnesota_frost,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/minnesota-frost/roster | https://www.thepwhl.com/en/teams/minnesota-frost,data/asset_registry/hockey_softball_asset_review_triage.csv#row=5,data/asset_registry/hockey_softball_asset_review_triage.csv,13-15,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=minnesota_frost,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
12,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,montreal_victoire,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/montreal-victoire/roster | https://www.thepwhl.com/en/teams/montreal-victoire,data/asset_registry/hockey_softball_asset_review_triage.csv#row=6,data/asset_registry/hockey_softball_asset_review_triage.csv,16-18,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=montreal_victoire,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
13,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,new_york_sirens,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/new-york-sirens/roster | https://www.thepwhl.com/en/teams/new-york-sirens,data/asset_registry/hockey_softball_asset_review_triage.csv#row=7,data/asset_registry/hockey_softball_asset_review_triage.csv,19-21,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=new_york_sirens,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
14,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,ottawa_charge,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/ottawa-charge/roster | https://www.thepwhl.com/en/teams/ottawa-charge,data/asset_registry/hockey_softball_asset_review_triage.csv#row=8,data/asset_registry/hockey_softball_asset_review_triage.csv,22-24,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=ottawa_charge,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
15,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,san_jose,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/san-jose/roster | https://www.thepwhl.com/en/teams/san-jose,data/asset_registry/hockey_softball_asset_review_triage.csv#row=9,data/asset_registry/hockey_softball_asset_review_triage.csv,25-27,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=san_jose,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
16,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,seattle_torrent,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/seattle-torrent/roster | https://www.thepwhl.com/en/teams/seattle-torrent,data/asset_registry/hockey_softball_asset_review_triage.csv#row=10,data/asset_registry/hockey_softball_asset_review_triage.csv,28-30,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=seattle_torrent,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
17,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,toronto_sceptres,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/toronto-sceptres/roster | https://www.thepwhl.com/en/teams/toronto-sceptres,data/asset_registry/hockey_softball_asset_review_triage.csv#row=11,data/asset_registry/hockey_softball_asset_review_triage.csv,31-33,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=toronto_sceptres,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
18,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,vancouver_goldeneyes,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/vancouver-goldeneyes/roster | https://www.thepwhl.com/en/teams/vancouver-goldeneyes,data/asset_registry/hockey_softball_asset_review_triage.csv#row=12,data/asset_registry/hockey_softball_asset_review_triage.csv,34-36,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=vancouver_goldeneyes,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
19,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,softball,Softball,Athletes Unlimited Softball League,logo,ausl,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,theausl.com,https://theausl.com/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=32,data/asset_registry/hockey_softball_asset_review_triage.csv,68,sport_family=softball;asset_domain=logo;candidate_entity_id=ausl,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
20,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,softball,Softball,Athletes Unlimited Softball League,logo,carolina_blaze,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,theausl.com,https://theausl.com/blaze/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=33,data/asset_registry/hockey_softball_asset_review_triage.csv,69,sport_family=softball;asset_domain=logo;candidate_entity_id=carolina_blaze,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
21,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,softball,Softball,Athletes Unlimited Softball League,logo,chicago_bandits,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,theausl.com,https://theausl.com/bandits/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=34,data/asset_registry/hockey_softball_asset_review_triage.csv,70,sport_family=softball;asset_domain=logo;candidate_entity_id=chicago_bandits,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
22,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,softball,Softball,Athletes Unlimited Softball League,logo,oklahoma_city_spark,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,theausl.com,https://theausl.com/spark/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=35,data/asset_registry/hockey_softball_asset_review_triage.csv,71,sport_family=softball;asset_domain=logo;candidate_entity_id=oklahoma_city_spark,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
23,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,softball,Softball,Athletes Unlimited Softball League,logo,portland_cascade,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,theausl.com,https://theausl.com/cascade/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=36,data/asset_registry/hockey_softball_asset_review_triage.csv,72,sport_family=softball;asset_domain=logo;candidate_entity_id=portland_cascade,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
24,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,softball,Softball,Athletes Unlimited Softball League,logo,texas_volts,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,theausl.com,https://theausl.com/volts/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=37,data/asset_registry/hockey_softball_asset_review_triage.csv,73,sport_family=softball;asset_domain=logo;candidate_entity_id=texas_volts,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
25,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,softball,Softball,Athletes Unlimited Softball League,logo,utah_talons,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,theausl.com,https://theausl.com/talons/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=38,data/asset_registry/hockey_softball_asset_review_triage.csv,74,sport_family=softball;asset_domain=logo;candidate_entity_id=utah_talons,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
26,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,boston_fleet,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/boston-fleet,data/asset_registry/hockey_softball_asset_review_triage.csv#row=19,data/asset_registry/hockey_softball_asset_review_triage.csv,55,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=boston_fleet,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
